LOCATION,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME
DMC(디지털미디어시티),보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,24000,26000,51,49,0,2,25,31,23,12,5,2,45,55,N,2022-11-04 11:05
창동 신경제 중심지,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,28000,30000,42,58,0,7,17,16,17,19,14,10,28,72,N,2022-11-04 11:05
노량진,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,55,45,0,4,38,19,13,12,9,6,33,67,N,2022-11-04 11:05
낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,44,56,1,8,25,13,15,15,11,12,37,63,N,2022-11-04 11:05
북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,47,53,0,12,15,19,18,16,11,9,37,63,N,2022-11-04 11:05
가로수길,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,26000,28000,43,57,0,4,25,27,19,12,8,4,35,65,N,2022-11-04 11:05
성수카페거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,52,48,0,1,27,29,19,14,7,3,34,66,N,2022-11-04 11:05
수유리 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,43,57,0,2,20,16,18,19,15,11,36,64,N,2022-11-04 11:05
쌍문동 맛집거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,45,55,0,6,16,15,16,17,15,14,30,70,N,2022-11-04 11:05
압구정로데오거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,41,59,0,3,28,31,18,10,6,4,40,60,N,2022-11-04 11:05
여의도,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,130000,135000,56,44,0,2,19,31,26,14,6,3,47,53,N,2022-11-04 11:05
영등포 타임스퀘어,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,45,55,0,2,21,22,21,17,11,6,33,67,N,2022-11-04 11:05
인사동·익선동,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,20000,22000,54,46,0,4,18,23,21,16,10,7,38,62,N,2022-11-04 11:05
DMC(디지털미디어시티),보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,24000,26000,51,49,0,2,25,31,24,11,5,2,44,56,N,2022-11-04 11:15
창동 신경제 중심지,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,28000,30000,43,57,0,10,16,15,16,19,14,10,27,73,N,2022-11-04 11:15
노량진,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,55,45,0,4,37,18,13,13,9,6,31,69,N,2022-11-04 11:15
낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,48,52,1,7,26,11,13,17,14,12,36,64,N,2022-11-04 11:15
북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,45,55,0,11,14,20,19,16,12,8,35,65,N,2022-11-04 11:15
가로수길,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,26000,28000,43,57,0,4,25,27,20,12,7,4,35,65,N,2022-11-04 11:15
성수카페거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,52,48,0,2,27,29,19,13,7,3,34,66,N,2022-11-04 11:15
수유리 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,43,57,0,2,20,15,18,19,14,11,35,65,N,2022-11-04 11:15
쌍문동 맛집거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,45,55,0,6,17,16,16,18,15,12,31,69,N,2022-11-04 11:15
압구정로데오거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,41,59,0,2,29,31,19,10,6,3,40,60,N,2022-11-04 11:15
여의도,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,130000,135000,56,44,0,2,19,31,26,14,6,3,45,55,N,2022-11-04 11:15
영등포 타임스퀘어,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,44,56,0,2,20,22,21,18,12,7,32,68,N,2022-11-04 11:15
인사동·익선동,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,20000,22000,54,46,0,4,18,23,21,16,10,8,37,63,N,2022-11-04 11:15
DMC(디지털미디어시티),붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,52,48,0,3,25,31,24,11,4,1,30,70,N,2022-11-04 12:00
창동 신경제 중심지,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,30000,32000,43,57,0,9,16,16,17,19,14,9,24,76,N,2022-11-04 12:00
노량진,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,54,46,0,4,37,20,13,12,8,5,28,72,N,2022-11-04 12:00
낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,47,53,1,6,26,12,14,19,14,9,35,65,N,2022-11-04 12:00
북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,42,58,0,12,13,21,21,16,10,8,27,73,N,2022-11-04 12:00
가로수길,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,28000,30000,42,58,0,3,25,29,20,12,7,4,30,70,N,2022-11-04 12:00
성수카페거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,51,49,0,2,28,29,20,11,6,3,24,76,N,2022-11-04 12:00
수유리 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,44,56,0,3,20,16,17,19,15,10,34,66,N,2022-11-04 12:00
쌍문동 맛집거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,45,55,0,6,18,18,15,17,14,12,30,70,N,2022-11-04 12:00
압구정로데오거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,26000,28000,41,59,0,2,28,33,18,9,6,3,34,66,N,2022-11-04 12:00
여의도,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,135000,140000,56,44,0,2,19,31,25,14,5,3,29,71,N,2022-11-04 12:00
영등포 타임스퀘어,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,44,56,0,2,20,23,20,17,12,7,28,72,N,2022-11-04 12:00
인사동·익선동,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,24000,26000,53,47,0,3,18,23,21,16,11,8,25,75,N,2022-11-04 12:00
DMC(디지털미디어시티),붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,28000,30000,50,50,0,2,26,31,24,10,4,2,29,71,N,2022-11-04 12:45
창동 신경제 중심지,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,30000,32000,41,59,0,10,18,16,16,19,14,8,24,76,N,2022-11-04 12:45
노량진,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,54,46,0,5,38,18,14,12,7,5,25,75,N,2022-11-04 12:45
낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,45,55,1,12,26,11,14,15,12,9,33,67,N,2022-11-04 12:45
북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,44,56,0,11,15,21,17,17,12,6,27,73,N,2022-11-04 12:45
가로수길,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,32000,42,58,0,3,27,29,19,11,7,4,27,73,N,2022-11-04 12:45
성수카페거리,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,14000,16000,50,50,0,2,30,29,19,12,6,3,22,78,N,2022-11-04 12:45
수유리 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,43,57,0,3,20,16,18,19,13,10,33,67,N,2022-11-04 12:45
쌍문동 맛집거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,44,56,0,6,18,15,16,19,14,12,29,71,N,2022-11-04 12:45
압구정로데오거리,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,40,60,0,2,29,33,18,9,5,3,31,69,N,2022-11-04 12:45
여의도,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,135000,140000,55,45,0,2,20,31,25,14,5,3,32,68,N,2022-11-04 12:45
영등포 타임스퀘어,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,42,58,0,2,20,23,19,17,12,7,24,76,N,2022-11-04 12:45
인사동·익선동,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,52,48,0,3,18,21,20,16,11,10,25,75,N,2022-11-04 12:45
DMC(디지털미디어시티),붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,51,49,0,3,26,31,23,11,4,2,41,59,N,2022-11-04 13:55
창동 신경제 중심지,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,32000,34000,43,57,0,9,17,15,16,19,14,9,25,75,N,2022-11-04 13:55
노량진,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,55,45,0,5,40,18,12,12,8,5,27,73,N,2022-11-04 13:55
낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,200,300,54,46,1,10,31,13,13,14,9,8,32,68,N,2022-11-04 13:55
북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,38,62,0,10,18,21,19,16,9,7,28,72,N,2022-11-04 13:55
가로수길,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,32000,43,57,0,4,27,28,19,12,7,4,30,70,N,2022-11-04 13:55
성수카페거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,50,50,0,3,31,28,18,12,6,3,28,72,N,2022-11-04 13:55
수유리 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,45,55,0,4,21,16,17,18,14,9,35,65,N,2022-11-04 13:55
쌍문동 맛집거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,43,57,1,7,17,16,15,18,14,11,31,69,N,2022-11-04 13:55
압구정로데오거리,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,40,60,0,2,31,31,18,9,6,3,34,66,N,2022-11-04 13:55
여의도,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,130000,135000,56,44,0,2,20,31,24,14,6,3,46,54,N,2022-11-04 13:55
영등포 타임스퀘어,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,41,59,0,3,20,21,18,17,12,8,26,74,N,2022-11-04 13:55
인사동·익선동,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,52,48,0,4,20,20,19,16,11,11,31,69,N,2022-11-04 13:55
DMC(디지털미디어시티),보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,24000,26000,51,49,0,3,26,31,23,11,4,2,42,58,N,2022-11-04 14:40
창동 신경제 중심지,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,32000,34000,43,57,0,10,17,14,16,19,14,10,25,75,N,2022-11-04 14:40
노량진,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,55,45,0,5,37,18,13,12,9,6,26,74,N,2022-11-04 14:40
낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,50,50,1,6,31,13,14,14,13,9,35,65,N,2022-11-04 14:40
북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,41,59,0,9,21,20,17,16,10,7,29,71,N,2022-11-04 14:40
가로수길,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,32000,43,57,0,4,28,27,19,12,7,4,31,69,N,2022-11-04 14:40
성수카페거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,50,50,0,3,31,28,18,12,6,2,28,72,N,2022-11-04 14:40
수유리 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,44,56,0,4,21,16,18,18,14,10,34,66,N,2022-11-04 14:40
쌍문동 맛집거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,44,56,0,7,17,14,15,18,15,13,30,70,N,2022-11-04 14:40
압구정로데오거리,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,42,58,0,3,30,31,18,10,6,3,35,65,N,2022-11-04 14:40
여의도,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,125000,130000,56,44,0,2,21,30,25,14,6,3,47,53,N,2022-11-04 14:40
영등포 타임스퀘어,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,42,58,0,4,21,21,16,17,13,8,26,74,N,2022-11-04 14:40
인사동·익선동,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,51,49,0,4,19,20,19,15,12,10,31,69,N,2022-11-04 14:40
DMC(디지털미디어시티),보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,24000,26000,50,50,0,3,26,31,22,11,4,2,41,59,N,2022-11-04 16:05
창동 신경제 중심지,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,32000,34000,43,57,1,11,18,15,16,19,13,8,25,75,N,2022-11-04 16:05
노량진,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,57,43,0,7,37,18,12,12,8,6,27,73,N,2022-11-04 16:05
낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,47,53,1,7,28,13,14,16,10,10,35,65,N,2022-11-04 16:05
북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,44,56,0,15,20,18,17,16,9,6,28,72,N,2022-11-04 16:05
가로수길,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,32000,34000,43,57,0,6,28,26,18,12,7,4,30,70,N,2022-11-04 16:05
성수카페거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,49,51,0,4,33,26,16,11,6,2,28,72,N,2022-11-04 16:05
수유리 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,45,55,0,7,21,16,16,18,14,9,34,66,N,2022-11-04 16:05
쌍문동 맛집거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,4000,45,55,0,13,16,15,13,16,15,12,28,72,N,2022-11-04 16:05
압구정로데오거리,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,42,58,0,4,30,31,17,9,5,2,36,64,N,2022-11-04 16:05
여의도,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,125000,130000,55,45,0,3,22,31,24,13,5,3,47,53,N,2022-11-04 16:05
영등포 타임스퀘어,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,18000,20000,43,57,0,4,22,21,16,17,12,7,26,74,N,2022-11-04 16:05
인사동·익선동,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,50,50,0,4,21,21,19,15,11,9,31,69,N,2022-11-04 16:05
DMC(디지털미디어시티),보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,24000,26000,51,49,0,3,27,30,23,10,4,2,39,61,N,2022-11-04 17:20
창동 신경제 중심지,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,34000,36000,44,56,0,11,19,15,15,19,13,7,24,76,N,2022-11-04 17:20
노량진,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,55,45,0,6,36,19,13,13,8,4,23,77,N,2022-11-04 17:20
낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,44,56,0,8,27,14,14,15,12,10,40,60,N,2022-11-04 17:20
북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,41,59,0,7,23,21,17,15,10,6,29,71,N,2022-11-04 17:20
가로수길,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,32000,43,57,0,6,30,26,18,11,6,3,30,70,N,2022-11-04 17:20
성수카페거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,49,51,0,5,35,26,16,11,6,2,25,75,N,2022-11-04 17:20
수유리 먹자골목,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,45,55,0,8,22,15,17,17,13,8,32,68,N,2022-11-04 17:20
쌍문동 맛집거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,4000,45,55,0,6,17,16,16,18,16,10,27,73,N,2022-11-04 17:20
압구정로데오거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,26000,28000,43,57,0,4,32,31,18,9,5,2,36,64,N,2022-11-04 17:20
여의도,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,115000,120000,54,46,0,3,22,31,24,12,5,2,45,55,N,2022-11-04 17:20
영등포 타임스퀘어,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,18000,20000,44,56,0,4,25,21,17,16,11,5,22,78,N,2022-11-04 17:20
인사동·익선동,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,24000,26000,51,49,0,4,24,20,19,16,11,7,29,71,N,2022-11-04 17:20
DMC(디지털미디어시티),여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8000,8500,50,50,0,6,28,25,19,12,6,3,32,68,N,2022-11-04 23:10
창동 신경제 중심지,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,53,47,0,11,26,17,16,15,9,5,35,65,N,2022-11-04 23:10
