LOCATION,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME
경복궁·서촌마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,41,59,0,15,16,18,18,15,10,7,27,73,N,2022-11-04 11:05
광화문·덕수궁,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,32000,34000,52,48,0,4,16,27,26,17,7,4,33,67,N,2022-11-04 11:05
창덕궁·종묘,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,55,45,0,4,19,20,20,18,13,6,37,63,N,2022-11-04 11:05
경복궁·서촌마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,41,59,0,14,16,18,19,14,11,8,26,74,N,2022-11-04 11:15
광화문·덕수궁,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,34000,36000,52,48,0,3,16,27,25,17,7,4,32,68,N,2022-11-04 11:15
창덕궁·종묘,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,55,45,0,5,18,19,20,19,12,6,35,65,N,2022-11-04 11:15
경복궁·서촌마을,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,14000,16000,42,58,0,10,16,20,20,17,10,7,21,79,N,2022-11-04 12:00
광화문·덕수궁,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,38000,40000,52,48,0,3,17,27,26,16,7,4,18,82,N,2022-11-04 12:00
창덕궁·종묘,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,16000,18000,53,47,0,4,20,20,20,18,12,6,30,70,N,2022-11-04 12:00
경복궁·서촌마을,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,41,59,0,12,17,21,18,15,10,7,19,81,N,2022-11-04 12:45
광화문·덕수궁,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,40000,42000,49,51,0,4,17,28,25,16,7,4,18,82,N,2022-11-04 12:45
창덕궁·종묘,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,18000,20000,52,48,0,4,19,20,20,18,12,7,29,71,N,2022-11-04 12:45
경복궁·서촌마을,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,14000,16000,40,60,0,10,18,20,18,16,11,7,22,78,N,2022-11-04 13:50
광화문·덕수궁,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,36000,38000,51,49,0,3,18,26,24,16,8,4,28,72,N,2022-11-04 13:50
창덕궁·종묘,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,18000,20000,52,48,0,4,20,19,19,18,12,7,32,68,N,2022-11-04 13:50
경복궁·서촌마을,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,14000,16000,39,61,0,9,20,19,18,15,11,7,22,78,N,2022-11-04 14:35
광화문·덕수궁,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,36000,38000,51,49,0,4,18,25,24,16,8,4,28,72,N,2022-11-04 14:35
창덕궁·종묘,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,18000,20000,51,49,0,3,21,19,19,19,12,7,32,68,N,2022-11-04 14:35
경복궁·서촌마을,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,14000,16000,40,60,0,8,24,21,17,14,9,6,24,76,N,2022-11-04 16:05
광화문·덕수궁,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,36000,38000,50,50,0,3,19,26,24,16,7,4,28,72,N,2022-11-04 16:05
